Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
3,80,63000,788,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-pb-mare-in-nufaru-IDm0bP.html#0c3b7ab7c3
2,53,44900,847,Nufarul,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-nufarul-oradea-IDjYi3.html#0c3b7ab7c3
6,180,170000,944,Orasul Nou,https://www.storia.ro/ro/oferta/gaminvest-2-apartament-central-oradea-a1394i-IDilso.html#0c3b7ab7c3
4,400,230000,575,Nicolae Grigorescu,https://www.storia.ro/ro/oferta/gaminvest-vila-de-vanzare-cartier-grigorescu-oradea-v2395-IDluQV.html#0c3b7ab7c3
5,151,110000,728,Olosig,https://www.storia.ro/ro/oferta/sapient-apartament-5-camere-ultracentral-IDhLFQ.html#0c3b7ab7c3
2,38,46000,1211,Nufarul 2,https://www.storia.ro/ro/oferta/apartament-cantemir-bloc-nou-parter-IDkbIn.html#0c3b7ab7c3
2,130,67500,519,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-parcul-balcescu-IDjo9z.html#0c3b7ab7c3
8,270,165000,611,Olosig,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-4-apartamente-magheru-oradea-v2166-IDiGLN.html#0c3b7ab7c3
2,90,73000,811,Oradea,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-ultracentral-oradea-IDhZ2h.html#0c3b7ab7c3
2,47,57000,1213,Subcetate,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-de-vanzare-ultracentral-IDlifD.html#0c3b7ab7c3
2,76,63500,836,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm4po.html#0c3b7ab7c3
3,87,72500,833,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-3-camere-IDm4nw.html#0c3b7ab7c3
2,67,52760,787,Oradea,https://www.storia.ro/ro/oferta/ap-2-cam-finisat-modern-bloc-nou-finalizat-cu-cf-IDiDYC.html#0c3b7ab7c3
1,30,24800,1222,Olosig,https://www.storia.ro/ro/oferta/vand-garsoniera-piata-decebal-20mp-str-menumorut-nr-8-IDm5RS.html#a2d72aa0d8
3,82,76300,930,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-confort-1-rogerius-IDlMFY.html#a2d72aa0d8
2,59,61700,1046,Rogerius,https://www.storia.ro/ro/oferta/apartament-deosebit-complet-renovat-mobilat-si-utilat-rogerius-IDlMvg.html#a2d72aa0d8
4,81,62000,765,Nufarul,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-zona-nufarul-oradea-IDlchp.html#a2d72aa0d8
2,75,74900,999,Universitatii,https://www.storia.ro/ro/oferta/apartament-nou-de-vanzare-prima-universitatii-oradea-IDlurQ.html#a2d72aa0d8
2,45,36900,820,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-velenta-IDm661.html#a2d72aa0d8
2,53,59900,1130,Nufarul 2,https://www.storia.ro/ro/oferta/apartament-inteligent-nou-finisat-utilat-situat-in-cartierul-nufarul-IDl2sO.html#a2d72aa0d8
2,54,53800,996,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/2-camere-et-1-cantemir-IDlv35.html#a2d72aa0d8
3,75,72000,960,Gheorghe Doja,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-oradea-IDlv2K.html#a2d72aa0d8
2,100,80000,800,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-aes-residence-oradea-IDkV2p.html#a2d72aa0d8
2,50,45000,900,Dorobantilor,https://www.storia.ro/ro/oferta/aparrament-cu-2-camere-cantemir-str-ronald-reagan-IDicvy.html#a2d72aa0d8
5,140,139000,993,Oradea,https://www.storia.ro/ro/oferta/apartament-cinci-camere-de-vanzare-ultracentral-oradea-av106-IDk881.html#a2d72aa0d8
3,95,77500,816,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-zona-costaforu-IDlaMh.html#a2d72aa0d8
3,86,87500,1017,Iosia,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-complex-rezidential-iosia-IDj13M.html#a2d72aa0d8
5,200,110000,550,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-cu-5-camere-ultracentral-IDd9rE.html#a2d72aa0d8
2,60,51500,858,Olosig,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-parcul-libertatii-oradea-av045-IDh0Ow.html#a2d72aa0d8
3,62,39800,642,Seleus,https://www.storia.ro/ro/oferta/apartament-trei-camere-tip-x-de-vanzare-velenta-oradea-av049-IDh0ep.html#a2d72aa0d8
3,153,159000,1039,Oradea,https://www.storia.ro/ro/oferta/penthouse-lux-cu-3-cam-in-decebal-IDl4Xd.html#a2d72aa0d8
